06.11.2014 - 00:09:54 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:55 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:55 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:55 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:56 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:56 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:57 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:58 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:59 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:00 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
